0	01s1	0	44	FL	3	3	3	3	2	2	1	3	3	3	4	4
1	01s1	1	43	FL	4	1	1	1	1	5	1	1	2	2	1	1
2	01s1	2	61	PS	1	4	3	4	2	2	4	4	4	4	2	1
2	01s1	3	80	DN	4	4	3	3	4	2	3	4	4	4	5	3
3	01s1	4	68	CR	4	3	5	5	3	4	4	2	2	3	3	4
3	01s1	5	58	PS	4	4	3	3	4	1	4	5	3	2	3	3
4	01s1	2	52	PS	4	4	4	5	3	3	4	4	4	2	2	3
4	01s1	3	73	CR	4	4	4	3	4	3	4	4	4	4	4	4
5	01s1	6	48	PC	2	3	2	4	3	3	2	4	5	2	3	3
6	01s1	7	71	CR	4	4	3	3	2	4	4	4	3	2	4	2
7	01s1	8	85	HD	4	5	4	3	4	2	4	3	5	3	4	4
8	01s1	6	58	PS	1	1	1	5	1	1	1	1	1	1	1	1
8	01s1	9	67	CR	1	1	1	5	1	1	1	1	1	1	1	1
8	01s1	10	96	HD	3	3	3	3	3	3	3	3	3	3	3	3
8	01s1	3	64	PS	1	1	1	5	1	1	1	1	1	1	1	1
9	01s1	11	74	CR	3	2	3	3	2	4	2	3	4	3	3	2
9	01s1	12	83	DN	4	4	4	3	4	2	3	3	4	4	3	4
10	01s1	2	60	PS	4	5	3	2	5	3	1	2	4	3	3	3
11	01s1	11	65	CR	3	3	3	3	3	3	3	3	3	3	3	3
11	01s1	12	65	CR	3	3	3	3	3	3	3	3	3	3	3	3
11	01s1	13	61	PS	3	3	3	3	3	3	3	3	3	3	3	3
11	01s1	14	64	PS	3	3	3	3	3	3	3	3	3	3	3	3
12	01s1	15	67	CR	5	5	5	4	3	3	4	5	4	4	5	5
12	01s1	2	78	DN	5	5	3	3	4	3	3	5	4	4	4	4
13	01s1	16	57	PS	2	4	2	3	1	2	1	2	4	3	2	3
14	01s1	17	63	PS	2	4	2	3	2	5	2	2	4	3	1	2
14	01s1	18	67	CR	4	4	4	3	4	2	4	4	4	4	4	4
15	01s1	19	72	CR	3	5	4	3	5	2	4	5	5	4	4	5
16	01s1	20	70	CR	5	4	5	3	4	1	3	4	4	2	4	5
16	01s1	17	77	DN	4	3	5	3	4	2	4	5	4	5	4	5
17	01s1	5	59	PS	3	3	3	3	3	3	4	3	3	2	2	3
17	01s1	17	50	PS	2	4	4	4	3	4	3	4	4	3	2	3
17	01s1	18	30	FL	3	3	3	3	3	3	3	3	3	3	3	3
17	01s1	6	14	FL	2	2	2	1	3	1	3	3	3	3	1	2
18	01s1	6	17	FL	3	3	3	3	3	2	3	3	3	3	1	2
19	01s1	19	60	PS	5	NA	NA	3	5	1	NA	NA	5	5	5	5
